ImageID,Transcriptions
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,ὑπο τη συνευςδιξοεανδνυπορ ποοδυπρας
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,ἢ μητακχεφιλοχορ εύτα δυ μπρο πρενπεμε
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,συ σ κατεχισωμε ἐπιτελωτι
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,κ ἀπαὐτελετία τὸν δεὲ τὸν σανἀαλισκόν
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,κ τὸρακον και ξεύδὡς τα φήμής παιξτε εχηρευ
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,τακχεφιλοχορ ευτα συμπρο πρμπεμε
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,γὶ τραβλάκας κμειρακιση
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,γυαο δή κατεδθνς νλλς ὑπροσιτο
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,ὲ υμεσαι σρύχετωνο παραρραία ττιτοι προηυ
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,ιακχεφιλοχερευτα συμπεο πεμπεμε
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,εοδαειπι φιλακολουδος εμας
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,κμετ αυτῆς και ξνχωρευεν καλομυτς
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,κἀὼ ε προου βδδμος δη τε κοίντη σνα τα τρξης
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,ὸς επιετος ων ουκ φυς φρατορας
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,ο δεεδαμλίατ ἐν τοῖς ανων κροισι
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,κἀσιτα πρῴτα ξόκ ειμοχθηριτ
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,τν κλεισθεν ην δάκχω σνταις ταφαὶ πρωατα
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,τὶλλεινε ττοὐεπράτιειντας γναθους
66 Bodleian-Library-MS-Barocci-127_00136_fol-66v,καἀκόδετπτεισκεικύφις κακλα καντκρας
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,ὴρ ἀλλ ῶήσαι καρπεπρα τετιλμεν
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,ἀλλ εήσιθως οματειρσος ηδητα τεμμε
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,"εμελλαφαέρειν, χη τρἀπερεἐσηρετο"
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,θενν φρασον πρτισοταις ἀρχήστρι
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,ταιεενεκ τουπαις αὐτος ότεισερχομ
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,αὶπαις ἀκολουθεδεύρότάσκευηφ
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,πισγες ουτος χι που ου δηνποι
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,επησε παιζων τρακλεα σηεαςε
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,μοα φλυτρήσης ἔχωνω ξανθια
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,ἀλλραμένος παλινοισειςταστρωμλς
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,κἀντιδέστιν οὐ δη που μαφελεα ταιανοη
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,α δω και αὐτος διςοχτα χἀλλὴἐπο
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,καταθητοδξμλξαν ταυτερ μεντύρδι
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,τοῖς θεοῖσιν επιτρεπω δις ποιοις θεο
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,ώδὲ προς δοκήήσαι σκκἀνοητ ἐκεν
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,ὶδουλος ὢν κδνητος ἀλκμην ευ
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,ξανλμελει καί εχαὐτ ισυς γοτο πό
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,χου δεήθείης αειρεος ολοι
101 Bodleian-Library-MS-Barocci-127_00166_fol-69r.jpg,Ταὶ ταυταμι πρ ανδρος εστινουν εχον αφεν
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,"φυρα, καὶ τάξ μωτικαι τος ακτλίες"
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,ὲπαινε τὴν μενχρήησιμ ενωτιων εντη μνηστεια
